VE_REF beta.se.VE_REF
DEN115 0
DEN115 0
DEN115 0
DEN115 0
DEN115 0.21353
DEN115 0.54536
DEN115 0.35077
DEN115 0
DEN115 0.3097
DEN115 0.42116
DEN115 0.90326
DEN115 0
DEN115 0.30112
DEN115 0
DEN115 0
DEN115 0
DEN115 0
DEN116 0
DEN116 0.10668
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0.14292
DEN116 0.5638
DEN116 0.33104
DEN116 0.08667
DEN116 0.32203
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN116 0.24534
DEN116 0
DEN116 0
DEN116 0.14456
DEN116 0
DEN116 0
DEN116 0
DEN116 0.84764
DEN116 0
DEN116 0
DEN116 0
DEN116 0
DEN123 0
DEN123 0.13586
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0.23564
DEN123 0.07828
DEN123 0
DEN123 0
DEN123 0
DEN123 0.17018
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN123 0.10086
DEN123 0.67952
DEN123 0.13865
DEN123 0
DEN123 0.18597
DEN123 0.11931
DEN123 0.20347
DEN123 0
DEN123 0.23643
DEN123 0
DEN123 0
DEN123 0
DEN123 0
DEN135 0
DEN135 0.37981
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0.17043
DEN135 0
DEN135 0
DEN135 0
DEN135 0.21691
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0.20161
DEN135 0
DEN135 0
DEN135 0.15102
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
DEN135 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0.08518
GER20 0.18179
GER20 0
GER20 0
GER20 0.69125
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0.13061
GER20 0
GER20 0
GER20 0.13068
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
GER20 0
SWN11 0
SWN11 0.27857
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0.19308
SWN11 0.12862
SWN11 0
SWN11 0
SWN11 0.32576
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN11 0.32405
SWN11 0
SWN11 0
SWN11 0.74339
SWN11 0
SWN11 0
SWN11 0
SWN11 0
SWN21 0
SWN21 0.26257
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0.18008
SWN21 0.63812
SWN21 0
SWN21 0.13659
SWN21 0.19535
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0.34641
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN21 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0.10205
SWN27 0.077
SWN27 0
SWN27 0
SWN27 0.30457
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN27 0
SWN38 0
SWN38 0.26928
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0.24661
SWN38 0.13987
SWN38 0.09762
SWN38 0
SWN38 0
SWN38 0.21374
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0.18791
SWN38 0
SWN38 0.37068
SWN38 0.11263
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN38 0
SWN44 0
SWN44 0.24645
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0.19363
SWN44 0.12732
SWN44 0.10615
SWN44 0
SWN44 0
SWN44 0.25529
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0.2171
SWN44 0
SWN44 0.2953
SWN44 0.22599
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN44 0
SWN48 0
SWN48 0.29658
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0.25342
SWN48 0
SWN48 0.15594
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0.61358
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
SWN48 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0.12812
DEN3 0.10735
DEN3 0
DEN3 0
DEN3 0.20427
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN3 0.41486
DEN3 0
DEN3 0.22263
DEN3 0
DEN3 0
DEN3 0.129
DEN3 0
DEN3 0
DEN3 0.34411
DEN3 0
DEN3 0
DEN3 0
DEN3 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0.18936
DEN15 0.09397
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0
DEN15 0.63354
DEN15 0
DEN15 0
